IndividualID,SiteID,Country,Latitude,Longitude,Period,PhaseID,gaussianModelMu,gaussianModelSigma,YearBP,RiteID,Culture,Sex,DepositionType,Dismembered,Head,BodyPositioning,BurialSide,BurialOrientationMin,BurialOrientationMax,GraveGoods,Ochre,DepositionType_bog body,DepositionType_cenotaph,DepositionType_cremation,DepositionType_disarticulated,DepositionType_inhumation,DepositionType_inhumation: carbonized,BodyPositioning_crouched,BodyPositioning_extended,"BodyPositioning_extended, rhomboid",BodyPositioning_heap,BodyPositioning_inside a vessel,BodyPositioning_irregular,BodyPositioning_prone,BodyPositioning_scattered,BodyPositioning_sitting,BurialSide_back,BurialSide_back/left,BurialSide_back/right,BurialSide_bottom,BurialSide_front,BurialSide_front/left,BurialSide_front/right,BurialSide_left,BurialSide_left/back,BurialSide_left/front,BurialSide_right,BurialSide_right/back,BurialSide_right/front,CitationID,aDNAID,Num,ANCE1_v2,ANCE2_v2,ANCE3_v2,ANCE4_v2,ANCE5_v2,ANCE6_v2,ANCE7_v2,ANCE8_v2,ANCE9_v2,mobility_MDS_250y_retrospective,mobility_PCA_250y_retrospective,AncestryMatch_distance,MobilityMatch_distance,aDNACitationID,time_added,user_added,time_last_update,user_last_update
C00031,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00031,Linearbandkeramik,0.5,inhumation,,,crouched,left,90,180,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,9,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00032,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00032,Linearbandkeramik,1,inhumation,0,1,crouched,left,111,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,10,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00033,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00033,Linearbandkeramik,1,inhumation,0,1,crouched,left,110,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I17340,3129,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00034,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00034,Linearbandkeramik,1,inhumation,0,1,crouched,left,168,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,11,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00035,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00035,Linearbandkeramik,1,inhumation,0,1,crouched,left,90,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,12,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00036,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00036,Linearbandkeramik,0.25,inhumation,0,1,crouched,left,116,,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I18144,3150,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00037,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00037,Linearbandkeramik,1,inhumation,0,1,crouched,left,146,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,,13,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00038,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00038,Linearbandkeramik,0.5,inhumation,0,1,crouched,left,166,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I17538,3135,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-25T02:08:01Z,robert@localhost
C00039,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00039,Linearbandkeramik,0.25,inhumation,0,1,crouched,left,135,225,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I16014,3079,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
C00040,S10567,Slovakia,48.28,18.09,Neolithic,NITRHK1,7052,102,7052,R00040,Linearbandkeramik,0.5,inhumation,0,1,crouched,left,144,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pavúk1972a,I17539,3136,0.0005455,0.01482775,0.00252425,0.09702275,0.00479325,0.82937325,1e-05,0.04803575,0.0028675,156.25,360.75,182.364451666561,91.7860677232504,gelab2023a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost
