"SiteID","Latitude","Longitude","PhaseID","gaussianModelMu","gaussianModelSigma","aDNAID","aDNACitationID","DepositionType","RiteID","IndividualID","Dismembered","Head","BodyPositioning","BurialSide","BurialOrientationMin","BurialOrientationMax","GraveGoods","Ochre","CitationID","time_added","user_added","time_last_update","user_last_update"
"S10567","48.280","18.090","NITRHK1","7052","102","I14182","gelab2023a","inhumation","R00055","C00055","0","1","crouched","left","159",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I11866","gelab2023a","inhumation","R00056","C00056","0","1","crouched","left","118",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00057","C00057","0","1","crouched","left","136",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00058","C00058","0","1","crouched","back","158",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I16016","gelab2023a","inhumation","R00059","C00059","0","1","crouched","left","90",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00060","C00060",\N,"1",\N,"left","90","180","0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00061","C00061","0","1","crouched","left/front","145",\N,\N,"0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102","I14180","gelab2023a","inhumation","R00062","C00062","0","1","crouched","left","156",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00063","C00063","0","1","crouched","left","151",\N,"0","0","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-25 02:08:01","robert@localhost"
"S10567","48.280","18.090","NITRHK1","7052","102",\N,\N,"inhumation","R00064","C00064","0","1","crouched","left","139",\N,\N,"1","pavúk1972a","2024-04-25 02:08:01","robert@localhost","2024-04-26 04:59:08","Rscripts@localhost"
