IndividualID;Culture;Period
C12567;\N;Neolithic
C12568;\N;Neolithic
C12569;\N;Neolithic
C12570;\N;Neolithic
C12571;\N;Neolithic
C12572;\N;Neolithic
C12573;\N;Neolithic
C12574;\N;Neolithic
C13002;\N;Eneolithic
C13003;\N;Eneolithic
C13004;\N;Eneolithic
C13059;\N;Bronze Age
C13089;\N;Bronze Age
C13090;\N;Bronze Age
C13093;\N;Bronze Age
C13094;\N;Bronze Age
C13095;\N;Bronze Age
C13096;\N;Bronze Age
C13097;\N;Bronze Age
C13098;\N;Bronze Age
C13099;\N;Bronze Age
C13100;\N;Bronze Age
C13111;\N;Bronze Age
C13112;\N;Bronze Age
C13113;\N;Bronze Age
C13114;\N;Bronze Age
C13115;\N;Bronze Age
C13116;\N;Bronze Age
C13117;\N;Iron Age
C13118;\N;Iron Age
C13119;\N;Iron Age
C13120;\N;Bronze Age
C13121;\N;Bronze Age
C13122;\N;Bronze Age
C13149;\N;Eneolithic
C13150;\N;Eneolithic
C13518;\N;Bronze Age
C13526;\N;Iron Age
C13527;\N;Iron Age
C13638;\N;Neolithic
C13680;\N;Bronze Age
C13682;\N;Bronze Age
C13683;\N;Bronze Age
C13684;\N;Bronze Age/Iron Age
C13685;\N;Bronze Age
C13686;\N;Bronze Age
C13687;\N;Bronze Age
C13688;\N;Bronze Age
C13689;\N;Bronze Age
C13717;\N;Eneolithic
C13718;\N;Eneolithic
C13742;\N;Bronze Age
C13745;\N;Iron Age
C13746;\N;Iron Age
C13764;\N;Neolithic
C12041;\N;Neolithic
C12042;\N;Neolithic
C12043;\N;Neolithic
C12044;\N;Neolithic
C12045;\N;Neolithic
C12047;\N;Neolithic
C03300;\N;Bronze Age
C03697;\N;Neolithic
C13037;\N;Neolithic
C12105;\N;Neolithic
C12106;\N;Neolithic
C12107;\N;Neolithic
C12108;\N;Neolithic
C12109;\N;Neolithic
C12111;\N;Neolithic
C12112;\N;Neolithic
C12127;\N;Neolithic
C12128;\N;Neolithic
C12566;\N;Neolithic
C03698;\N;Neolithic
C13528;\N;Bronze Age/Iron Age
C13530;\N;Bronze Age/Iron Age
C13743;\N;Iron Age
C13747;\N;Bronze Age/Iron Age
C13748;\N;Bronze Age/Iron Age
C13749;\N;Bronze Age/Iron Age
C13750;\N;Bronze Age/Iron Age
C13751;\N;Bronze Age/Iron Age
C09376;\N;Neolithic
C07549;\N;Eneolithic
C07588;\N;Eneolithic
C07656;\N;Eneolithic
C07670;\N;Eneolithic
C03625;\N;Neolithic
C03626;\N;Neolithic
C03627;\N;Neolithic
C03628;\N;Neolithic
C03629;\N;Neolithic
C03630;\N;Neolithic
C03631;\N;Neolithic
C03632;\N;Neolithic
C03633;\N;Neolithic
C03470;\N;Neolithic
C13639;\N;Neolithic
C13640;\N;Neolithic
C13641;\N;Neolithic
C13642;\N;Neolithic
C13643;\N;Neolithic
C13644;\N;Neolithic
C13645;\N;Neolithic
C13646;\N;Neolithic
C13647;\N;Bronze Age
C12545;\N;Neolithic
C12546;\N;Neolithic
C12547;\N;Neolithic
C12548;\N;Neolithic
C12549;\N;Neolithic
C12550;\N;Neolithic
C12551;\N;Neolithic
C12552;\N;Neolithic
C12553;\N;Neolithic
C12049;\N;Neolithic
C12050;\N;Neolithic
C12051;\N;Neolithic
C12052;\N;Neolithic
C12053;\N;Neolithic
C12054;\N;Neolithic
C12055;\N;Neolithic
C12056;\N;Neolithic
C12057;\N;Neolithic
C03186;\N;Neolithic
C07499;\N;Neolithic
C07500;\N;Neolithic
C13770;\N;Neolithic
C03209;\N;Neolithic
C07746;\N;Neolithic
C12013;\N;Bronze Age
C12014;\N;Bronze Age
C12015;\N;Bronze Age
C12016;\N;Bronze Age
C09724;\N;Neolithic
C09725;\N;Neolithic
C09727;\N;Neolithic
C09729;\N;Neolithic
C09731;\N;Neolithic
C09733;\N;Neolithic
C09735;\N;Neolithic
C07665;\N;Eneolithic
C07666;\N;Eneolithic
C09387;\N;Mesolithic/Neolithic
C09388;\N;Mesolithic/Neolithic
C09389;\N;Mesolithic/Neolithic
C09527;\N;Neolithic
C09542;\N;Neolithic
C09543;\N;Neolithic
C03000;\N;Neolithic
C03001;\N;Neolithic
C03002;\N;Neolithic
C03003;\N;Neolithic
C09360;Andronovo;Bronze Age
C09361;Andronovo;Bronze Age
C09354;Andronovo;Bronze Age
C09358;Andronovo;Bronze Age
C09359;Andronovo;Bronze Age
C04067;Andronovo;Bronze Age
C04068;Andronovo;Bronze Age
C04069;Andronovo;Bronze Age
C04070;Andronovo;Bronze Age
C04071;Andronovo;Bronze Age
C09349;\N;Neolithic
C09350;\N;Neolithic
C00011;Baden;Eneolithic
C03357;Baden;Eneolithic
C03358;Baden;Eneolithic
C03733;Baden;Eneolithic
C03734;Baden;Eneolithic
C03735;Baden;Eneolithic
C03736;Baden;Eneolithic
C03737;Baden;Eneolithic
C04756;Baden;Eneolithic
C04757;Baden;Eneolithic
C04758;Baden;Eneolithic
C04759;Baden;Eneolithic
C04760;Baden;Eneolithic
C04761;Baden;Eneolithic
C04762;Baden;Eneolithic
C04763;Baden;Eneolithic
C04764;Baden;Eneolithic
C04765;Baden;Eneolithic
C04766;Baden;Eneolithic
C04767;Baden;Eneolithic
C04768;Baden;Eneolithic
C04769;Baden;Eneolithic
C04770;Baden;Eneolithic
C04771;Baden;Eneolithic
C04772;Baden;Eneolithic
C04773;Baden;Eneolithic
C04774;Baden;Eneolithic
C04775;Baden;Eneolithic
