aDNAID,SiteID,Latitude,Longitude,PhaseID,gaussianModelMu,gaussianModelSigma,aDNACitationID,DepositionType,RiteID,IndividualID,Dismembered,Head,BodyPositioning,BurialSide,BurialOrientationMin,BurialOrientationMax,GraveGoods,Ochre,CitationID,time_added,user_added,time_last_update,user_last_update,DepositionType_bog body,DepositionType_cenotaph,DepositionType_cremation,DepositionType_disarticulated,DepositionType_inhumation,DepositionType_inhumation: carbonized,BodyPositioning_crouched,BodyPositioning_extended,"BodyPositioning_extended, rhomboid",BodyPositioning_heap,BodyPositioning_inside a vessel,BodyPositioning_irregular,BodyPositioning_prone,BodyPositioning_scattered,BodyPositioning_sitting,BurialSide_back,BurialSide_back/left,BurialSide_back/right,BurialSide_bottom,BurialSide_front,BurialSide_front/left,BurialSide_front/right,BurialSide_left,BurialSide_left/back,BurialSide_left/front,BurialSide_right,BurialSide_right/back,BurialSide_right/front,Num,TIME,ANCE1,ANCE2,ANCE3,ANCE4,ANCE5,ANCE6,ANCE7,ANCE8,ANCE9,ov_dist_mds2_retro_default,ov_dist_pca5_retro_default,Date_BP_Median,YearBP,MobilityMatch_distance,AncestryMatch_distance,EHG,WHG,LVN,CHG
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00080,C00080,,,crouched,right,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,31,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00081,C00081,,,crouched,,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,32,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00082,C00082,,1,crouched,,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,33,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00083,C00083,,1,crouched,left,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,cremation,R00084,C00084,,,,,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,35,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,inhumation,R00085,C00085,,,,,,,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,36,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,cremation,R00086,C00086,,,,,,,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,37,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,,R00087,C00087,,,,,,,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,,R00088,C00088,,,crouched,left,45,135,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
,S10568,48.77,22.006,SEBA1,6200,236,,cremation,R00089,C00089,,,inside a vessel,,,,,0,šiška1972a,2024-04-25T02:08:01Z,robert@localhost,2024-04-26T04:59:08Z,Rscripts@localhost,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,40,,0.005179,0.008579,0.003206,0.170821,0.001955,0.761953,1e-05,0.048288,1e-05,146,560,,6200,121.601599674152,263.628915380442,0.0183363757833968,0.134156185377086,0.767328649006913,0
