Run,Performance,Variable
32,0.970401691331924,Back
33,0.983086680761099,Back
34,0.972515856236786,Back
35,0.968287526427061,Back
36,0.972515856236786,Back
37,0.966173361522199,Back
38,0.972515856236786,Back
39,0.972515856236786,Back
40,0.968287526427061,Back
41,0.968287526427061,Back
42,0.970401691331924,Back
43,0.964059196617336,Back
44,0.970401691331924,Back
45,0.970401691331924,Back
46,0.964059196617336,Back
47,0.968287526427061,Back
48,0.978858350951374,Back
49,0.976744186046512,Back
50,0.964059196617336,Back
51,0.985200845665962,Back
52,0.974630021141649,Back
53,0.970401691331924,Back
54,0.972515856236786,Back
55,0.974630021141649,Back
56,0.970401691331924,Back
57,0.968287526427061,Back
58,0.976744186046512,Back
59,0.966173361522199,Back
60,0.976744186046512,Back
61,0.972515856236786,Back
62,0.968287526427061,Back
63,0.970401691331924,Back
64,0.972515856236786,Back
65,0.980972515856237,Back
66,0.976744186046512,Back
67,0.974630021141649,Back
68,0.972515856236786,Back
69,0.983086680761099,Back
70,0.972515856236786,Back
71,0.976744186046512,Back
72,0.972515856236786,Back
73,0.961945031712474,Back
74,0.966173361522199,Back
75,0.974630021141649,Back
76,0.968287526427061,Back
77,0.970401691331924,Back
78,0.961945031712474,Back
79,0.974630021141649,Back
80,0.964059196617336,Back
81,0.970401691331924,Back
82,0.968287526427061,Back
83,0.968287526427061,Back
84,0.961945031712474,Back
85,0.970401691331924,Back
86,0.970401691331924,Back
87,0.966173361522199,Back
88,0.961945031712474,Back
89,0.974630021141649,Back
90,0.968287526427061,Back
91,0.978858350951374,Back
92,0.970401691331924,Back
93,0.968287526427061,Back
94,0.966173361522199,Back
95,0.974630021141649,Back
96,0.966173361522199,Back
97,0.972515856236786,Back
98,0.978858350951374,Back
99,0.964059196617336,Back
100,0.966173361522199,Back
