Run,Performance,Model,Variable
89,0.920739762219287,Baseline,Back
90,0.916776750330251,Baseline,Back
91,0.906208718626156,Baseline,Back
92,0.912813738441215,Baseline,Back
93,0.895640686922061,Baseline,Back
94,0.919418758256275,Baseline,Back
95,0.924702774108322,Baseline,Back
96,0.912813738441215,Baseline,Back
97,0.926023778071334,Baseline,Back
98,0.915455746367239,Baseline,Back
99,0.92338177014531,Baseline,Back
100,0.900924702774108,Baseline,Back
1,0.675033025099075,Full model,Left
2,0.669749009247028,Full model,Left
3,0.67107001321004,Full model,Left
4,0.698811096433289,Full model,Left
5,0.659180977542933,Full model,Left
6,0.688243064729194,Full model,Left
7,0.68560105680317,Full model,Left
8,0.673712021136064,Full model,Left
9,0.693527080581242,Full model,Left
10,0.677675033025099,Full model,Left
11,0.681638044914135,Full model,Left
12,0.665785997357992,Full model,Left
13,0.66446499339498,Full model,Left
14,0.701453104359313,Full model,Left
15,0.690885072655218,Full model,Left
16,0.649933949801849,Full model,Left
17,0.677675033025099,Full model,Left
18,0.651254953764861,Full model,Left
19,0.67107001321004,Full model,Left
20,0.66446499339498,Full model,Left
21,0.680317040951123,Full model,Left
22,0.656538969616909,Full model,Left
23,0.677675033025099,Full model,Left
24,0.668428005284016,Full model,Left
25,0.68560105680317,Full model,Left
26,0.631439894319683,Full model,Left
27,0.669749009247028,Full model,Left
28,0.676354029062087,Full model,Left
29,0.649933949801849,Full model,Left
30,0.66446499339498,Full model,Left
31,0.651254953764861,Full model,Left
32,0.681638044914135,Full model,Left
33,0.69220607661823,Full model,Left
34,0.669749009247028,Full model,Left
35,0.669749009247028,Full model,Left
36,0.684280052840158,Full model,Left
37,0.669749009247028,Full model,Left
38,0.696169088507266,Full model,Left
39,0.689564068692206,Full model,Left
40,0.668428005284016,Full model,Left
41,0.680317040951123,Full model,Left
42,0.657859973579921,Full model,Left
43,0.681638044914135,Full model,Left
44,0.640686922060766,Full model,Left
45,0.67107001321004,Full model,Left
46,0.668428005284016,Full model,Left
47,0.673712021136064,Full model,Left
48,0.680317040951123,Full model,Left
49,0.681638044914135,Full model,Left
50,0.680317040951123,Full model,Left
51,0.684280052840158,Full model,Left
52,0.653896961690885,Full model,Left
53,0.684280052840158,Full model,Left
54,0.69220607661823,Full model,Left
55,0.69220607661823,Full model,Left
56,0.663143989431968,Full model,Left
57,0.673712021136064,Full model,Left
58,0.655217965653897,Full model,Left
59,0.684280052840158,Full model,Left
60,0.663143989431968,Full model,Left
61,0.673712021136064,Full model,Left
62,0.657859973579921,Full model,Left
63,0.645970937912814,Full model,Left
64,0.673712021136064,Full model,Left
65,0.645970937912814,Full model,Left
66,0.694848084544254,Full model,Left
67,0.684280052840158,Full model,Left
68,0.661822985468957,Full model,Left
69,0.697490092470277,Full model,Left
70,0.696169088507266,Full model,Left
71,0.702774108322325,Full model,Left
72,0.660501981505945,Full model,Left
73,0.689564068692206,Full model,Left
74,0.694848084544254,Full model,Left
75,0.69220607661823,Full model,Left
76,0.676354029062087,Full model,Left
77,0.677675033025099,Full model,Left
78,0.669749009247028,Full model,Left
79,0.682959048877147,Full model,Left
80,0.686922060766182,Full model,Left
81,0.689564068692206,Full model,Left
82,0.705416116248349,Full model,Left
83,0.688243064729194,Full model,Left
84,0.68560105680317,Full model,Left
85,0.672391017173052,Full model,Left
86,0.697490092470277,Full model,Left
87,0.678996036988111,Full model,Left
88,0.648612945838838,Full model,Left
89,0.68560105680317,Full model,Left
90,0.66446499339498,Full model,Left
91,0.655217965653897,Full model,Left
92,0.694848084544254,Full model,Left
93,0.678996036988111,Full model,Left
94,0.697490092470277,Full model,Left
95,0.665785997357992,Full model,Left
96,0.663143989431968,Full model,Left
97,0.693527080581242,Full model,Left
98,0.693527080581242,Full model,Left
99,0.667107001321004,Full model,Left
100,0.68560105680317,Full model,Left
1,0.702774108322325,Full model,Right
2,0.697490092470277,Full model,Right
3,0.71334214002642,Full model,Right
4,0.706737120211361,Full model,Right
5,0.701453104359313,Full model,Right
6,0.71334214002642,Full model,Right
7,0.729194187582563,Full model,Right
8,0.709379128137385,Full model,Right
9,0.710700132100396,Full model,Right
10,0.69220607661823,Full model,Right
11,0.71334214002642,Full model,Right
12,0.730515191545575,Full model,Right
13,0.698811096433289,Full model,Right
14,0.708058124174373,Full model,Right
15,0.710700132100396,Full model,Right
16,0.697490092470277,Full model,Right
17,0.71334214002642,Full model,Right
18,0.71334214002642,Full model,Right
19,0.722589167767503,Full model,Right
20,0.694848084544254,Full model,Right
21,0.702774108322325,Full model,Right
22,0.688243064729194,Full model,Right
23,0.718626155878468,Full model,Right
24,0.700132100396301,Full model,Right
25,0.700132100396301,Full model,Right
26,0.71334214002642,Full model,Right
27,0.702774108322325,Full model,Right
28,0.710700132100396,Full model,Right
29,0.700132100396301,Full model,Right
30,0.717305151915456,Full model,Right
31,0.710700132100396,Full model,Right
32,0.702774108322325,Full model,Right
33,0.702774108322325,Full model,Right
34,0.709379128137385,Full model,Right
35,0.689564068692206,Full model,Right
36,0.702774108322325,Full model,Right
37,0.698811096433289,Full model,Right
38,0.721268163804492,Full model,Right
39,0.706737120211361,Full model,Right
40,0.69220607661823,Full model,Right
41,0.722589167767503,Full model,Right
42,0.698811096433289,Full model,Right
43,0.698811096433289,Full model,Right
44,0.704095112285337,Full model,Right
45,0.712021136063408,Full model,Right
46,0.718626155878468,Full model,Right
47,0.676354029062087,Full model,Right
48,0.730515191545575,Full model,Right
49,0.690885072655218,Full model,Right
50,0.722589167767503,Full model,Right
51,0.704095112285337,Full model,Right
52,0.700132100396301,Full model,Right
53,0.710700132100396,Full model,Right
54,0.733157199471599,Full model,Right
55,0.705416116248349,Full model,Right
56,0.710700132100396,Full model,Right
57,0.710700132100396,Full model,Right
58,0.68560105680317,Full model,Right
59,0.693527080581242,Full model,Right
60,0.712021136063408,Full model,Right
61,0.693527080581242,Full model,Right
62,0.710700132100396,Full model,Right
63,0.717305151915456,Full model,Right
64,0.690885072655218,Full model,Right
65,0.688243064729194,Full model,Right
66,0.704095112285337,Full model,Right
67,0.709379128137385,Full model,Right
68,0.717305151915456,Full model,Right
69,0.726552179656539,Full model,Right
70,0.69220607661823,Full model,Right
71,0.721268163804492,Full model,Right
72,0.709379128137385,Full model,Right
73,0.718626155878468,Full model,Right
74,0.706737120211361,Full model,Right
75,0.712021136063408,Full model,Right
76,0.701453104359313,Full model,Right
77,0.694848084544254,Full model,Right
78,0.71994715984148,Full model,Right
79,0.710700132100396,Full model,Right
80,0.704095112285337,Full model,Right
81,0.672391017173052,Full model,Right
82,0.73447820343461,Full model,Right
83,0.708058124174373,Full model,Right
84,0.702774108322325,Full model,Right
85,0.688243064729194,Full model,Right
